W,L,W/L%,GB,PS/G,PA/G,SRS,year,team
39,16,.709,—,117.2,108.1,8.46,2025,Boston Celtics (2)
36,18,.667,2.5,118.4,112.5,4.82,2025,New York Knicks (3)
20,34,.370,18.5,109.1,112.9,-3.77,2025,Philadelphia 76ers (11)
20,34,.370,18.5,105.0,111.0,-5.87,2025,Brooklyn Nets (12)
17,38,.309,22.0,110.6,116.5,-4.39,2025,Toronto Raptors (13)
44,10,.815,—,122.7,111.9,9.68,2025,Cleveland Cavaliers (1)
30,23,.566,13.5,116.0,115.6,-0.39,2025,Indiana Pacers (4)
29,24,.547,14.5,114.3,112.9,0.49,2025,Milwaukee Bucks (5)
29,26,.527,15.5,113.6,113.1,0.03,2025,Detroit Pistons (6)
22,33,.400,22.5,116.0,120.7,-4.87,2025,Chicago Bulls (10)
27,29,.482,—,104.0,105.4,-1.97,2025,Orlando Magic (7)
26,29,.473,0.5,116.7,119.1,-2.58,2025,Atlanta Hawks (8)
25,28,.472,0.5,109.8,110.7,-1.19,2025,Miami Heat (9)
13,39,.250,12.0,106.3,111.8,-5.99,2025,Charlotte Hornets (14)
9,45,.167,17.0,108.6,122.0,-12.05,2025,Washington Wizards (15)
44,10,.815,—,117.8,104.9,12.74,2025,Oklahoma City Thunder (1)
36,19,.655,8.5,121.5,115.9,5.29,2025,Denver Nuggets (3)
31,25,.554,14.0,111.5,108.1,4.08,2025,Minnesota Timberwolves (7)
23,32,.418,21.5,109.2,114.8,-4.94,2025,Portland Trail Blazers (13)
13,41,.241,31.0,112.3,119.4,-6.48,2025,Utah Jazz (14)
32,20,.615,—,113.3,112.5,0.52,2025,Los Angeles Lakers (5)
31,23,.574,2.0,111.0,108.0,3.07,2025,Los Angeles Clippers (6)
28,27,.509,5.5,116.8,116.0,0.35,2025,Sacramento Kings (9)
28,27,.509,5.5,111.9,111.6,1.17,2025,Golden State Warriors (10)
26,28,.481,7.0,113.2,115.0,-2.07,2025,Phoenix Suns (11)
36,18,.667,—,123.3,115.8,6.81,2025,Memphis Grizzlies (2)
34,21,.618,2.5,112.7,108.6,4.95,2025,Houston Rockets (4)
30,26,.536,7.0,115.7,113.5,2.97,2025,Dallas Mavericks (8)
23,29,.442,12.0,113.0,114.4,-1.36,2025,San Antonio Spurs (12)
13,42,.236,23.5,110.6,119.4,-7.89,2025,New Orleans Pelicans (15)
