Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,year
1,Shai Gilgeous-Alexander,26,OKC,PG,53,53,34.0,11.2,21.5,.523,2.1,5.7,.359,9.2,15.8,.583,.571,7.9,8.8,.897,0.9,4.2,5.1,6.1,1.9,1.0,2.5,2.2,32.5,,2025
2,Giannis Antetokounmpo,30,MIL,PF,41,41,34.9,12.7,20.9,.608,0.1,0.8,.188,12.6,20.1,.624,.611,6.2,10.7,.577,2.3,9.9,12.2,5.9,0.8,1.3,3.4,2.4,31.8,,2025
3,Nikola Jokić,29,DEN,C,49,49,36.0,11.3,19.7,.577,2.0,4.5,.450,9.3,15.2,.615,.629,5.0,6.1,.823,3.0,9.6,12.6,10.2,1.8,0.7,3.1,2.2,29.8,,2025
4,Tyrese Maxey,24,PHI,PG,46,46,38.0,9.6,21.5,.447,3.3,9.6,.346,6.3,11.9,.528,.524,5.0,5.8,.872,0.3,3.2,3.5,6.1,1.9,0.4,2.5,2.3,27.6,,2025
5,Anthony Edwards,23,MIN,SG,54,54,36.7,9.1,20.8,.440,4.2,10.1,.414,4.9,10.7,.464,.540,5.0,5.9,.843,0.8,5.0,5.8,4.5,1.2,0.6,3.5,1.9,27.5,,2025
6,LaMelo Ball,23,CHO,PG,33,33,32.7,9.5,22.8,.416,4.0,11.9,.338,5.5,10.8,.503,.505,4.3,5.3,.822,0.9,4.2,5.1,7.2,1.3,0.3,3.6,3.3,27.3,,2025
7,Kevin Durant,36,PHO,PF,41,41,36.5,10.0,18.7,.532,2.4,5.9,.404,7.6,12.9,.590,.595,5.1,6.1,.825,0.4,5.6,6.0,4.2,0.9,1.4,3.1,1.8,27.3,,2025
8,Luka Dončić,25,2TM,PG,24,24,34.7,9.5,20.5,.460,3.3,9.5,.348,6.2,11.1,.556,.541,4.8,6.4,.753,0.8,7.3,8.0,7.5,1.9,0.4,3.4,2.8,27.0,,2025
9,Luka Dončić,25,DAL,PG,22,22,35.7,9.8,21.2,.464,3.4,9.6,.354,6.4,11.5,.555,.544,5.1,6.6,.767,0.7,7.6,8.3,7.8,2.0,0.4,3.4,2.6,28.1,,2025
10,Luka Dončić,25,LAL,PG,2,2,23.5,5.5,13.5,.407,2.0,7.5,.267,3.5,6.0,.583,.481,2.0,4.0,.500,1.0,3.5,4.5,4.0,0.5,0.5,3.0,4.0,15.0,,2025
